division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds,success_percentage
1,Women's 11 Under Age Group 36kg,2025-08-10T21:36:37.861Z,6,6,6,0,UPLOAD_STARTED,304,100
2,Women's 11 Under Age Group 40kg,2025-08-10T21:37:54.575Z,4,4,4,0,UPLOAD_STARTED,72,100
3,Women's 11 Under Age Group 44kg,2025-08-10T21:39:02.051Z,12,12,12,0,UPLOAD_STARTED,62,100
4,Women's 11 Under Age Group 48kg,2025-08-10T21:40:31.723Z,53,53,53,0,UPLOAD_STARTED,85,100
5,Women's 11 Under Age Group 53kg,2025-08-10T21:42:54.596Z,92,92,92,0,UPLOAD_STARTED,138,100
6,Women's 11 Under Age Group 58kg,2025-08-10T21:46:35.194Z,171,171,171,0,UPLOAD_STARTED,216,100
7,Women's 11 Under Age Group 63kg,2025-08-10T21:50:02.639Z,171,168,168,0,UPLOAD_STARTED,202,98
8,Women's 11 Under Age Group 63+kg,2025-08-10T21:56:42.325Z,412,412,412,0,UPLOAD_STARTED,395,100
9,Men's 11 Under Age Group 40kg,2025-08-10T21:58:19.707Z,26,26,26,0,UPLOAD_STARTED,92,100
10,Men's 11 Under Age Group 44kg,2025-08-10T21:59:56.979Z,21,21,21,0,UPLOAD_STARTED,92,100
11,Men's 11 Under Age Group 48kg,2025-08-10T22:01:32.618Z,22,22,22,0,UPLOAD_STARTED,91,100
12,Men's 11 Under Age Group 52kg,2025-08-10T22:02:46.944Z,22,22,22,0,UPLOAD_STARTED,69,100
13,Men's 11 Under Age Group 56kg,2025-08-10T22:04:18.141Z,44,44,44,0,UPLOAD_STARTED,86,100
14,Men's 11 Under Age Group 60kg,2025-08-10T22:05:56.916Z,52,52,52,0,UPLOAD_STARTED,94,100
15,Men's 11 Under Age Group 65kg,2025-08-10T22:07:55.559Z,88,88,88,0,UPLOAD_STARTED,114,100
16,Men's 11 Under Age Group 65+kg,2025-08-10T22:34:09.431Z,1504,1457,1457,0,UPLOAD_STARTED,1569,97
17,Women's 13 Under Age Group 36kg,2025-08-10T22:35:58.395Z,13,13,13,0,UPLOAD_STARTED,104,100
18,Women's 13 Under Age Group 40kg,2025-08-10T22:37:00.528Z,4,4,4,0,UPLOAD_STARTED,57,100
19,Women's 13 Under Age Group 44kg,2025-08-10T22:38:18.921Z,12,12,12,0,UPLOAD_STARTED,73,100
